title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
Around the World in 80 Days,1956,1950,68.1,79,69,30,67,22,G,175,Adventure,Comedy,Family,Michael Anderson,David Niven,Cantinflas,Finlay Currie,Robert Morley,42000000,57,470492647,14,29518,A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.
The Great Ziegfeld,1936,1930,67.65,80,69,30,66,23,Passed,176,Drama,Musical,,Robert Z. Leonard,William Powell,Myrna Loy,Luise Rainer,Frank Morgan,0,85,0,86,8938,"The ups and downs of <a href=""/name/nm0956067"">Florenz Ziegfeld Jr.</a>, famed producer of extravagant stage revues, are portrayed."
Cavalcade,1933,1930,66.25,81,73,27,58,26,Passed,112,Drama,Romance,War,Frank Lloyd,Diana Wynyard,Clive Brook,Una O'Connor,Herbert Mundin,7630000,74,178835461,52,5913,"A portrayal of the triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridgeses, from 1899 to 1933."
Cimarron,1931,1930,64.6,82,70,29,58,26,Passed,123,Drama,Western,,Wesley Ruggles,Richard Dix,Irene Dunne,Estelle Taylor,Nance O'Neil,0,85,0,86,6874,A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.
The Broadway Melody,1929,1920,61.5,83,66,33,56,27,Passed,100,Drama,Musical,Romance,Harry Beaumont,Bessie Love,Anita Page,Charles King,Eddie Kane,6121440,76,109076185,64,7926,"A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt."
The Life of Emile Zola,1937,1930,0,84,0,36,72,19,Passed,116,Biography,Drama,,William Dieterle,Paul Muni,Gale Sondergaard,Joseph Schildkraut,Gloria Holden,0,85,0,86,8961,The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfus Affair.
You Can't Take It with You,1938,1930,0,84,0,36,78,13,Passed,126,Comedy,Drama,Romance,Frank Capra,Jean Arthur,James Stewart,Lionel Barrymore,Edward Arnold,4659913,77,100700389,67,27771,The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family not realizing that his father is trying to force her family from their home for a real estate development.
Mrs. Miniver,1942,1940,0,84,0,36,76,15,Approved,134,Drama,Romance,War,William Wyler,Greer Garson,Walter Pidgeon,Teresa Wright,May Whitty,13500000,71,252358895,36,19357,A British family struggles to survive the first months of World War II.
The Lost Weekend,1945,1940,0,84,0,36,79,12,Passed,101,Drama,Film-Noir,,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,9460000,73,160136777,55,39997,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
Gentleman's Agreement,1947,1940,0,84,0,36,72,19,Not,118,Drama,Romance,,Elia Kazan,Gregory Peck,Dorothy McGuire,John Garfield,Celeste Holm,0,85,0,86,17685,"A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred."
All the King's Men,1949,1940,0,84,0,36,74,17,Approved,110,Drama,Film-Noir,,Robert Rossen,Broderick Crawford,John Ireland,Joanne Dru,John Derek,0,85,0,86,16479,"The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal."
