title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
The Larry Sanders Show,0,0,0.0,1,0,1,85,9,TV-MA,30,Comedy,,,N/A,Garry Shandling,Jeffrey Tambor,Wallace Langham,Rip Torn,0,1,0,1,9325,A comedic behind the scenes look at a late night talk show.
"The Prize: The Epic Quest for Oil, Money &amp; Power",0,0,0.0,1,0,1,83,11,PG-13,0,Documentary,,,N/A,Donald Sutherland,Daniel Yergin,Norman Cooley,Stephanie Cran,0,1,0,1,163,The globe-spanning story of the oil industry from the first strikes of the 19th century through the Gulf War. The industry's colorful characters and oil's key role in 20th century history are brought to life by participants and historians.
The Righteous Gemstones,0,0,0.0,1,0,1,81,13,TV-MA,36,Comedy,Drama,,N/A,John Goodman,Danny McBride,Adam Devine,Edi Patterson,0,1,0,1,46483,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work."
The Sopranos,0,0,0.0,1,0,1,92,3,TV-MA,55,Crime,Drama,,N/A,James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,0,1,0,1,464687,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
The Terror,0,0,0.0,1,0,1,79,15,TV-14,60,Adventure,Drama,Horror,N/A,Jared Harris,Derek Mio,Tobias Menzies,Kiki Sukezane,0,1,0,1,50834,"Supernatural, semihistorical, horror anthology series, where each season is inspired by a different infamous or mysterious real life historical tragedy."
The White Lotus,0,0,0.0,1,0,1,80,14,TV-MA,353,Comedy,Drama,,N/A,Jennifer Coolidge,Jon Gries,F. Murray Abraham,Adam DiMarco,0,1,0,1,202605,The exploits of various guests and employees of a luxury resort over the span of a week.
The Wire,0,0,0.0,1,0,1,93,2,TV-MA,59,Crime,Drama,Thriller,N/A,Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,0,1,0,1,373998,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Tim and Eric's Bedtime Stories,0,0,0.0,1,0,1,78,16,TV-14,11,Comedy,Horror,,N/A,Tim Heidecker,Eric Wareheim,Zach Galifianakis,Adam Cagley,0,1,0,1,2562,Tim and Eric's parody of horror anthology TV shows.
True Detective,0,0,0.0,1,0,1,89,5,TV-MA,55,Crime,Drama,Mystery,N/A,Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,0,1,0,1,648994,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
Veep,0,0,0.0,1,0,1,84,10,TV-MA,28,Comedy,,,N/A,Julia Louis-Dreyfus,Tony Hale,Anna Chlumsky,Reid Scott,0,1,0,1,62988,Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.
